Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch,metrics/AUC_ROC,metrics/AUC_ROC max,metrics/AUC_ROC max epoch,metrics/MRR,metrics/MRR max,metrics/MRR max epoch,metrics/Hits_50,metrics/Hits_50 max,metrics/Hits_50 max epoch
SBM-0.2-0.036,n2v,sg,-1,0.1,1.0,160,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7685505151748657,0.7717,24,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7647250890731812,0.7684,7,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.036,n2v,sg,-1,0.1,1.0,164,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7668851017951965,0.7690,23,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7678712010383606,0.7693,20,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.036,n2v,sg,10,0.1,1.0,112,26,318536.53125,472244.0625,790780.625,396.6883239746094,,,,,,,,,,,,,,,,,,,,0.7687984108924866,0.7711,17,0.011408054269850254,0.0120,3,2.4517616111552343e-05,0.0003,9
SBM-0.2-0.036,n2v,sg_aug,10,0.1,0.1,109,26,26212.2890625,0.0,26212.2890625,11265840.0,,,,,,,,,,,,,,,,,,,,0.7701839208602905,0.7719,17,0.011928945779800415,0.0124,16,0.0001716233091428876,0.0003,17
SBM-0.2-0.036,n2v,sg_aug,1000000,0.1,0.1,110,26,-0.0,0.0,0.0,355844608.0,,,,,,,,,,,,,,,,,,,,0.73145592212677,0.7366,3,0.01223896723240614,0.0124,5,0.0005884227575734258,0.0006,7
SBM-0.2-0.04,n2v,sg,-1,0.1,1.0,160,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7672273516654968,0.7708,16,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7687621712684631,0.7702,19,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.04,n2v,sg,-1,0.1,1.0,164,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.770150899887085,0.7731,21,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7686367034912109,0.7707,4,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.04,n2v,sg,10,0.1,1.0,112,26,318536.53125,472244.0625,790780.625,396.6883239746094,,,,,,,,,,,,,,,,,,,,0.7669529318809509,0.7677,18,0.011408054269850254,0.0120,3,2.4517616111552343e-05,0.0003,9
SBM-0.2-0.04,n2v,sg_aug,10,0.1,0.1,109,26,26212.2890625,0.0,26212.2890625,11265840.0,,,,,,,,,,,,,,,,,,,,0.7648643255233765,0.7662,17,0.011928945779800415,0.0124,16,0.0001716233091428876,0.0003,17
SBM-0.2-0.04,n2v,sg_aug,1000000,0.1,0.1,107,26,-0.0,0.0,0.0,355844608.0,,,,,,,,,,,,,,,,,,,,0.7316553592681885,0.7371,3,0.01223896723240614,0.0124,5,0.0005884227575734258,0.0006,7
SBM-0.2-0.06,n2v,sg,-1,0.1,1.0,219,,431238.9375,433284.84375,864523.75,8297.7724609375,11368257536.0,0.5191265344619751,0.5344,6,0.0066226511262357235,0.0072,3,3.3213764254469424e-05,0.0001,1,0.5192718505859375,0.5315,6,0.006646281108260155,0.0071,2,3.3213211281690747e-05,0.0002,13,,,,,,,,,
SBM-0.2-0.06,n2v,sg,-1,0.1,1.0,226,,431238.9375,433284.84375,864523.75,8297.7724609375,11368257536.0,0.5208784937858582,0.5343,6,0.0066226511262357235,0.0072,3,3.3213764254469424e-05,0.0001,1,0.5161618590354919,0.5300,6,0.006646281108260155,0.0071,2,3.3213211281690747e-05,0.0002,13,,,,,,,,,
SBM-0.2-0.06,n2v,sg,10,0.1,1.0,150,26,429372.34375,435783.3125,865155.625,34283.6171875,,,,,,,,,,,,,,,,,,,,0.512346088886261,0.5238,7,0.006810307037085295,0.0070,3,4.981981692253612e-05,0.0002,4
SBM-0.2-0.06,n2v,sg_aug,10,0.1,0.1,151,26,43386.62890625,0.0,43386.62890625,10566664.0,,,,,,,,,,,,,,,,,,,,0.5042695999145508,0.5056,21,0.006863764487206936,0.0069,10,0.0001826726656872779,0.0003,19
SBM-0.2-0.06,n2v,sg_aug,1000000,0.1,0.1,147,26,-0.0,0.0,0.0,386941792.0,,,,,,,,,,,,,,,,,,,,0.4988163113594055,0.4990,21,0.0068337442353367805,0.0070,15,0.00016606604913249612,0.0003,12
SBM-0.2-0.08,n2v,sg,-1,0.1,1.0,226,,431238.9375,433284.84375,864523.75,8297.7724609375,11368257536.0,0.5220202207565308,0.5335,6,0.0066226511262357235,0.0072,3,3.3213764254469424e-05,0.0001,1,0.5187951922416687,0.5296,6,0.006646281108260155,0.0071,2,3.3213211281690747e-05,0.0002,13,,,,,,,,,
SBM-0.2-0.08,n2v,sg,10,0.1,1.0,152,26,429372.34375,435783.3125,865155.625,34283.6171875,,,,,,,,,,,,,,,,,,,,0.5140331387519836,0.5256,7,0.006810307037085295,0.0070,3,4.981981692253612e-05,0.0002,4
SBM-0.2-0.08,n2v,sg_aug,10,0.1,0.1,152,26,43386.62890625,0.0,43386.62890625,10566664.0,,,,,,,,,,,,,,,,,,,,0.5054364204406738,0.5075,25,0.006863764487206936,0.0069,10,0.0001826726656872779,0.0003,19
SBM-0.2-0.08,n2v,sg_aug,1000000,0.1,0.1,153,26,-0.0,0.0,0.0,386941792.0,,,,,,,,,,,,,,,,,,,,0.49844807386398315,0.4986,5,0.0068337442353367805,0.0070,15,0.00016606604913249612,0.0003,12
SBM-0.2-0.1,n2v,sg,-1,0.1,1.0,226,,431238.9375,433284.84375,864523.75,8297.7724609375,11368257536.0,0.5247359871864319,0.5348,6,0.0066226511262357235,0.0072,3,3.3213764254469424e-05,0.0001,1,0.5188275575637817,0.5332,6,0.006646281108260155,0.0071,2,3.3213211281690747e-05,0.0002,13,,,,,,,,,
SBM-0.2-0.1,n2v,sg,10,0.1,1.0,155,26,429372.34375,435783.3125,865155.625,34283.6171875,,,,,,,,,,,,,,,,,,,,0.5135582089424133,0.5273,7,0.006810307037085295,0.0070,3,4.981981692253612e-05,0.0002,4
SBM-0.2-0.1,n2v,sg_aug,10,0.1,0.1,148,26,43386.62890625,0.0,43386.62890625,10566664.0,,,,,,,,,,,,,,,,,,,,0.5056025981903076,0.5059,21,0.006863764487206936,0.0069,10,0.0001826726656872779,0.0003,19
SBM-0.2-0.1,n2v,sg_aug,1000000,0.1,0.1,149,26,-0.0,0.0,0.0,386941792.0,,,,,,,,,,,,,,,,,,,,0.5000096559524536,0.5002,14,0.0068337442353367805,0.0070,15,0.00016606604913249612,0.0003,12
SBM-0.2-0.12,n2v,sg,-1,0.1,1.0,226,,431238.9375,433284.84375,864523.75,8297.7724609375,11368257536.0,0.5211416482925415,0.5375,6,0.0066226511262357235,0.0072,3,3.3213764254469424e-05,0.0001,1,0.5164633393287659,0.5315,6,0.006646281108260155,0.0071,2,3.3213211281690747e-05,0.0002,13,,,,,,,,,
SBM-0.2-0.12,n2v,sg,10,0.1,1.0,153,26,429372.34375,435783.3125,865155.625,34283.6171875,,,,,,,,,,,,,,,,,,,,0.5134274959564209,0.5263,7,0.006810307037085295,0.0070,3,4.981981692253612e-05,0.0002,4
SBM-0.2-0.12,n2v,sg_aug,10,0.1,0.1,148,26,43386.62890625,0.0,43386.62890625,10566664.0,,,,,,,,,,,,,,,,,,,,0.5063230395317078,0.5065,24,0.006863764487206936,0.0069,10,0.0001826726656872779,0.0003,19
SBM-0.2-0.12,n2v,sg_aug,1000000,0.1,0.1,148,26,-0.0,0.0,0.0,386941792.0,,,,,,,,,,,,,,,,,,,,0.5006389021873474,0.5008,25,0.0068337442353367805,0.0070,15,0.00016606604913249612,0.0003,12
SBM-0.2-0.14,n2v,sg,-1,0.1,1.0,225,,431238.9375,433284.84375,864523.75,8297.7724609375,11368257536.0,0.519015371799469,0.5306,8,0.0066226511262357235,0.0072,3,3.3213764254469424e-05,0.0001,1,0.5182856321334839,0.5327,6,0.006646281108260155,0.0071,2,3.3213211281690747e-05,0.0002,13,,,,,,,,,
SBM-0.2-0.14,n2v,sg,10,0.1,1.0,152,26,429372.34375,435783.3125,865155.625,34283.6171875,,,,,,,,,,,,,,,,,,,,0.5131483674049377,0.5267,7,0.006810307037085295,0.0070,3,4.981981692253612e-05,0.0002,4
SBM-0.2-0.14,n2v,sg_aug,10,0.1,0.1,150,26,43386.62890625,0.0,43386.62890625,10566664.0,,,,,,,,,,,,,,,,,,,,0.5042849183082581,0.5043,26,0.006863764487206936,0.0069,10,0.0001826726656872779,0.0003,19
SBM-0.2-0.14,n2v,sg_aug,1000000,0.1,0.1,147,26,-0.0,0.0,0.0,386941792.0,,,,,,,,,,,,,,,,,,,,0.49972859025001526,0.4997,26,0.0068337442353367805,0.0070,15,0.00016606604913249612,0.0003,12
SBM-0.2-0.16,n2v,sg,-1,0.1,1.0,266,,431438.6875,433196.40625,864635.125,8009.5234375,11368257536.0,0.5030120015144348,0.5038,22,0.006187813356518745,0.0072,1,8.332639117725194e-05,0.0001,25,0.49796831607818604,0.5048,9,0.0062021478079259396,0.0071,2,0.0,0.0001,3,,,,,,,,,
